X,Y
0.073644316,-1.373060525
0.997264428,-0.375248059
-0.155606646,-1.596196884
1.634447399,1.425847191
1.632609833,1.366962875
1.790267688,1.355149369
0.451760095,0.800204219
1.088475652,1.31185627
1.210801206,1.364854153
1.888934041,1.342056079
0.901789613,1.478188572
1.299009426,1.584971416
1.399747948,1.430517855
2.596630803,1.632104383
1.807290278,1.789494277
1.273397821,1.688999906
1.21014657,1.979502171
1.334351986,1.959641833
1.013091499,1.664548099
1.629340744,1.575443215
1.661926871,0.602338069
1.175097018,1.357266241
1.997203133,2.176940551
1.959500122,0.449741667
1.280369378,0.860770933
1.092470141,0.613559011
1.969196353,1.910392038
1.316046319,1.412031181
1.326951001,0.665507099
2.35818151,1.754772907
1.47978175,1.837124372
1.488404501,2.064014153
0.981305912,2.084091855
1.302889053,1.610012706
0.508989262,2.091013913
0.387563066,1.251992775
1.053295191,0.943818254
0.989455274,1.414725952
1.230901149,1.737282757
1.912749667,1.697403597
1.138960277,1.236108964
1.896509299,1.680604453
1.109237233,1.395627633
1.774625523,1.276168967
0.595428207,1.947714989
1.620445161,1.87056248
1.182374091,2.093952193
1.17150265,1.616959063
0.790869574,0.724099556
2.138305311,2.633270875
1.603298474,1.089219249
1.659474544,2.114206663
1.87250754,1.561598762
1.377999013,1.633249829
0.986176375,1.611214315
1.942077565,1.150931877
1.395591093,0.624772714
1.426768906,0.969677006
2.101061922,0.621214947
1.047942179,1.664805708
1.39216407,1.244160898
1.304224554,1.540016073
0.750620616,0.51857178
1.953523073,0.909819821
1.56021472,1.838292422
1.250191547,0.82916564
1.229194388,1.477631031
1.746929062,0.975641898
2.258901832,2.02246043
0.640073681,1.412281968
1.836460757,2.576134669
1.994332425,2.481563373
1.879620979,2.029616487
2.082951803,1.732476953
2.530704104,2.515906379
1.069653691,1.447093628
1.779474785,1.553462401
1.603374334,1.734673179
1.294280764,1.708638273
1.50822285,1.028949496
2.060654442,1.349027567
1.367395981,2.036960972
2.270887459,2.216136716
1.740791045,1.885798335
1.584336342,1.148604166
1.419347796,1.05401098
1.585714336,0.891174214
1.258153319,1.855790862
2.3259973,1.286802931
1.321722513,1.807744205
1.277650134,1.7303153
2.214219243,1.76818018
0.980593961,1.483797748
1.237813329,2.37081773
1.642628664,1.487719615
0.636343256,0.742006184
1.52654328,0.963758094
1.549323324,2.216710413
1.128532514,1.589759628
1.668766535,1.420117769
1.267811469,1.637894389
1.197997442,0.685707327
1.522145647,0.964115877
-1.446483125,1.389801501
-0.99387483,2.773620026
-0.788973712,1.965246
-1.384129701,2.066933322
-1.005828035,1.828218255
-1.324760525,0.971898871
-2.112078619,0.974749139
-1.886120321,1.031529903
-1.053180213,1.513497953
-1.590092407,1.702616755
-1.66851492,2.051638876
-0.946348531,1.59769466
-1.419269128,1.779161063
-1.201336157,1.998412692
-1.686375584,2.093499643
-1.139337898,1.762769952
-1.451599168,0.956249451
-1.041041417,1.487270595
-1.339224676,1.975429422
-1.56980807,1.292184209
-1.702361332,2.164755748
-1.503121406,2.125152018
-2.004131246,1.032608852
-1.865269544,2.442683704
-2.27680551,0.978434928
-1.302705752,2.201281888
-1.400448782,2.267168977
-1.911698874,0.736617186
-1.501690224,1.331474883
-1.51611882,1.59110794
-1.695922481,1.412448795
-1.756165524,0.980260184
-1.55773425,1.716079025
-0.930264449,1.293549527
-1.520591592,1.7529017
-2.039807268,1.966213569
-1.520766974,1.797290537
-1.26766533,1.028236437
-1.574288365,1.570383761
-1.701864528,2.445832804
-2.120123446,0.939527458
-1.252822749,2.081627114
-1.520532991,1.161396698
-1.212142469,1.608630183
-1.468844333,1.928441731
-1.195790734,1.576249915
-1.468071033,1.394433921
-1.771432815,1.435279802
-1.551344669,1.516878982
-1.760871341,1.939466539
-2.217125989,1.156594231
-1.639301447,1.667777126
-1.799124782,1.524643967
-2.191862035,1.061185015
-1.334356283,1.221393541
-1.278577921,1.028785336
-1.283216244,1.576478856
-1.492160518,1.823127116
-1.588904892,1.435635782
-1.510013217,0.770798084
-1.70505005,0.824151716
-1.336952554,0.83009574
-0.903879688,1.320368824
-1.177294068,1.710646338
-1.252908302,1.41721152
-1.094470664,0.833685276
-1.367878494,1.312308239
-0.543596021,1.786009819
-1.344041425,2.119398996
-1.608310088,2.017438334
-2.00405431,0.7317343
-1.062147899,1.427703609
-1.694358553,1.131617834
-1.735906563,1.82967223
-1.413110885,2.068675414
-1.543398236,1.445067732
-1.448108324,1.217995505
-1.586282655,1.32491063
-1.309496746,1.533700909
-1.320152928,1.786626569
-1.078906212,1.757328808
-0.907980877,1.038991311
-1.567536032,0.891818652
-2.071606747,1.481117185
-1.055471316,1.480501082
-1.894950409,0.71801012
-0.66049548,2.093668018
-0.589649104,1.587308638
-1.542590196,2.001482035
-2.224154736,1.103083541
-1.281971275,1.705451147
-1.179710579,1.74027724
-1.242009168,1.676648359
-1.440899022,2.115455273
-1.135789396,1.694508135
-1.648848257,1.291797488
-1.498503746,1.549325259
-1.324242691,1.99189464
-1.697567758,1.367367528
-1.406687871,1.462819769
